dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,55.000000,-4.000000,0.000049,0.019779,3.955827,791.165473,0.349071
0.005000,55.000000,-4.000000,0.000247,0.059337,7.911655,791.165473,0.349067
0.005000,55.000359,-3.999869,0.000692,0.118675,11.867482,791.165473,0.349059
0.005000,55.001103,-3.999599,0.001483,0.197791,15.823309,791.165473,0.349044
0.005000,55.002264,-3.999176,0.002720,0.296687,19.779137,791.165473,0.349020
0.005000,55.003937,-3.998567,0.004500,0.415362,23.734964,791.165473,0.348987
0.005000,55.006214,-3.997739,0.006923,0.553816,27.690792,791.165473,0.348941
0.005000,55.009188,-3.996657,0.010087,0.712049,31.646619,791.165473,0.348881
0.005000,55.012952,-3.995288,0.014093,0.890061,35.602446,791.165473,0.348806
0.005000,55.017599,-3.993598,0.019037,1.087853,39.558274,791.165473,0.348712
0.005000,55.023222,-3.991554,0.025021,1.305423,43.514101,791.165473,0.348600
0.005000,55.029915,-3.989122,0.032141,1.542773,47.469928,791.165473,0.348465
0.005000,55.037769,-3.986269,0.040498,1.799901,51.425756,791.165473,0.348308
0.005000,55.046880,-3.982962,0.050190,2.076809,55.381583,791.165473,0.348125
0.005000,55.057338,-3.979168,0.061315,2.373496,59.337410,791.165473,0.347915
0.005000,55.069239,-3.974854,0.073974,2.689963,63.293238,791.165473,0.347676
0.005000,55.082675,-3.969986,0.088264,3.026208,67.249065,791.165473,0.347407
0.005000,55.097740,-3.964534,0.104285,3.382232,71.204893,791.165473,0.347105
0.005000,55.114527,-3.958465,0.122136,3.758036,75.160720,791.165473,0.346769
0.005000,55.133130,-3.951746,0.141915,4.153619,79.116547,791.165473,0.346396
0.005000,55.153643,-3.944347,0.163722,4.568981,83.072375,791.165473,0.345985
0.005000,55.176159,-3.936235,0.187655,5.004122,87.028202,791.165473,0.345535
0.005000,55.200773,-3.927382,0.213812,5.459042,90.984029,791.165473,0.345043
0.005000,55.227579,-3.917755,0.242294,5.933741,94.939857,791.165473,0.344507
0.005000,55.256625,-3.907343,0.273150,6.408440,94.939857,-0.000000,0.343927
0.005000,55.287911,-3.896148,0.306379,6.883140,94.939857,0.000000,0.343302
0.005000,55.321440,-3.884176,0.341981,7.357839,94.939857,0.000000,0.342634
0.005000,55.357213,-3.871430,0.379957,7.832538,94.939857,0.000000,0.341921
0.005000,55.395232,-3.857915,0.420307,8.307237,94.939857,-0.000000,0.341164
0.005000,55.435498,-3.843637,0.463030,8.781937,94.939857,0.000000,0.340363
0.005000,55.478014,-3.828600,0.508126,9.256636,94.939857,-0.000000,0.339518
0.005000,55.522781,-3.812811,0.555596,9.731335,94.939857,0.000000,0.338630
0.005000,55.569802,-3.796275,0.605439,10.206035,94.939857,0.000000,0.337698
0.005000,55.619078,-3.778999,0.657656,10.680734,94.939857,-0.000000,0.336722
0.005000,55.670612,-3.760989,0.712247,11.155433,94.939857,0.000000,0.335702
0.005000,55.724406,-3.742252,0.769211,11.630132,94.939857,0.000000,0.334640
0.005000,55.780463,-3.722795,0.828548,12.104832,94.939857,-0.000000,0.333534
0.005000,55.838784,-3.702625,0.890259,12.579531,94.939857,0.000000,0.332385
0.005000,55.899374,-3.681750,0.954343,13.054230,94.939857,-0.000000,0.331193
0.005000,55.962233,-3.660179,1.020801,13.528930,94.939857,0.000000,0.329958
0.005000,56.027366,-3.637919,1.089633,14.003629,94.939857,0.000000,0.328681
0.005000,56.094774,-3.614979,1.160838,14.478328,94.939857,-0.000000,0.327361
0.005000,56.164461,-3.591368,1.234416,14.953027,94.939857,0.000000,0.325999
0.005000,56.236430,-3.567094,1.310368,15.427727,94.939857,0.000000,0.324595
0.005000,56.310683,-3.542168,1.388693,15.902426,94.939857,-0.000000,0.323149
0.005000,56.387224,-3.516599,1.469392,16.377125,94.939857,-0.000000,0.321661
0.005000,56.466056,-3.490396,1.552464,16.851825,94.939857,0.000000,0.320132
0.005000,56.547182,-3.463571,1.637910,17.326524,94.939857,-0.000000,0.318561
0.005000,56.630605,-3.436133,1.725730,17.801223,94.939857,0.000000,0.316950
0.005000,56.716328,-3.408093,1.815923,18.275922,94.939857,-0.000000,0.315297
0.005000,56.804356,-3.379463,1.908489,18.750622,94.939857,0.000000,0.313605
0.005000,56.894691,-3.350254,2.003429,19.225321,94.939857,-0.000000,0.311871
0.005000,56.987336,-3.320476,2.100742,19.700020,94.939857,0.000000,0.310098
0.005000,57.082296,-3.290143,2.200429,20.174720,94.939857,-0.000000,0.308285
0.005000,57.179573,-3.259265,2.302489,20.649419,94.939857,0.000000,0.306432
0.005000,57.279172,-3.227856,2.406923,21.124118,94.939857,0.000000,0.304541
0.005000,57.381095,-3.195928,2.513730,21.598817,94.939857,-0.000000,0.302610
0.005000,57.485347,-3.163493,2.622911,22.073517,94.939857,0.000000,0.300641
0.005000,57.591931,-3.130565,2.734466,22.548216,94.939857,0.000000,0.298634
0.005000,57.700850,-3.097157,2.848393,23.022915,94.939857,0.000000,0.296588
0.005000,57.812109,-3.063283,2.964695,23.497615,94.939857,-0.000000,0.294505
0.005000,57.925711,-3.028956,3.083370,23.972314,94.939857,0.000000,0.292385
0.005000,58.041660,-2.994191,3.204418,24.447013,94.939857,0.000000,0.290228
0.005000,58.159958,-2.959001,3.327840,24.921712,94.939857,0.000000,0.288035
0.005000,58.280611,-2.923401,3.453635,25.396412,94.939857,-0.000000,0.285806
0.005000,58.403622,-2.887405,3.581804,25.871111,94.939857,0.000000,0.283541
0.005000,58.528993,-2.851029,3.712346,26.345810,94.939857,-0.000000,0.281241
0.005000,58.656730,-2.814288,3.845262,26.820510,94.939857,0.000000,0.278906
0.005000,58.786835,-2.777197,3.980551,27.295209,94.939857,-0.000000,0.276537
0.005000,58.919313,-2.739770,4.118214,27.769908,94.939857,0.000000,0.274134
