dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,98.000000,0.000000,0.000091,0.036436,7.287197,1457.439468,3.141593
0.005000,97.999961,0.000000,0.000455,0.109308,14.574395,1457.439468,3.141593
0.005000,97.999141,0.000000,0.001275,0.218616,21.861592,1457.439468,3.141592
0.005000,97.997683,0.000000,0.002733,0.364360,29.148789,1457.439468,3.141591
0.005000,97.995406,0.000000,0.005010,0.546540,36.435987,1457.439468,3.141590
0.005000,97.992127,0.000000,0.008289,0.765156,43.723184,1457.439468,3.141588
0.005000,97.987664,0.000000,0.012753,1.020208,51.010381,1457.439468,3.141586
0.005000,97.981834,0.000000,0.018582,1.311696,58.297579,1457.439468,3.141582
0.005000,97.974455,0.000000,0.025961,1.639619,65.584776,1457.439468,3.141578
0.005000,97.965346,0.000000,0.035070,2.003979,72.871973,1457.439468,3.141572
0.005000,97.954325,0.000001,0.046092,2.404775,80.159171,1457.439468,3.141566
0.005000,97.941208,0.000001,0.059208,2.842007,87.446368,1457.439468,3.141558
0.005000,97.925813,0.000002,0.074603,3.315675,94.733565,1457.439468,3.141549
0.005000,97.907960,0.000002,0.092456,3.825779,102.020763,1457.439468,3.141538
0.005000,97.887465,0.000004,0.112952,4.372318,109.307960,1457.439468,3.141525
0.005000,97.864146,0.000005,0.136271,4.955294,116.595157,1457.439468,3.141511
0.005000,97.837912,0.000008,0.162505,5.538270,116.595157,0.000000,3.141494
0.005000,97.808763,0.000011,0.191653,6.121246,116.595157,0.000000,3.141476
0.005000,97.776699,0.000015,0.223717,6.704222,116.595157,0.000000,3.141455
0.005000,97.741721,0.000020,0.258696,7.287197,116.595157,0.000000,3.141431
0.005000,97.703827,0.000027,0.296589,7.870173,116.595157,0.000000,3.141406
0.005000,97.663019,0.000035,0.337397,8.453149,116.595157,0.000000,3.141377
0.005000,97.619296,0.000045,0.381120,9.036125,116.595157,0.000000,3.141346
0.005000,97.572658,0.000058,0.427758,9.619100,116.595157,0.000000,3.141312
0.005000,97.523105,0.000072,0.477311,10.202076,116.595157,0.000000,3.141275
0.005000,97.470637,0.000090,0.529779,10.785052,116.595157,0.000000,3.141235
0.005000,97.415254,0.000111,0.585162,11.368028,116.595157,0.000000,3.141192
0.005000,97.356957,0.000136,0.643460,11.951004,116.595157,0.000000,3.141144
0.005000,97.295744,0.000165,0.704672,12.533979,116.595157,0.000000,3.141094
0.005000,97.231617,0.000199,0.768799,13.116955,116.595157,0.000000,3.141039
0.005000,97.164575,0.000238,0.835842,13.699931,116.595157,0.000000,3.140980
