dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,40.000000,0.000000,0.000082,0.032908,6.581661,1316.332167,6.283159
0.005000,40.000000,0.000000,0.000411,0.098725,13.163322,1316.332167,6.283166
0.005000,40.000000,0.000000,0.001152,0.197450,19.744983,1316.332167,6.283183
0.005000,40.001228,0.000000,0.002468,0.329083,26.326643,1316.332167,0.000028
0.005000,40.003285,0.000000,0.004525,0.493625,32.908304,1316.332167,0.000076
0.005000,40.006165,0.000000,0.007404,0.658166,32.908304,-0.000000,0.000142
0.005000,40.009867,0.000001,0.011107,0.822708,32.908304,0.000000,0.000227
0.005000,40.014392,0.000002,0.015631,0.987249,32.908304,-0.000000,0.000332
0.005000,40.019739,0.000004,0.020979,1.151791,32.908304,0.000000,0.000455
0.005000,40.025910,0.000008,0.027149,1.316332,32.908304,0.000000,0.000597
0.005000,40.032903,0.000012,0.034142,1.480874,32.908304,0.000000,0.000758
0.005000,40.040718,0.000019,0.041958,1.645415,32.908304,0.000000,0.000938
0.005000,40.049357,0.000028,0.050597,1.809957,32.908304,-0.000000,0.001138
0.005000,40.058818,0.000040,0.060058,1.974498,32.908304,0.000000,0.001356
0.005000,40.069102,0.000055,0.070342,2.139040,32.908304,0.000000,0.001593
0.005000,40.080208,0.000074,0.081448,2.303581,32.908304,0.000000,0.001850
0.005000,40.092137,0.000098,0.093377,2.468123,32.908304,0.000000,0.002125
0.005000,40.104889,0.000127,0.106129,2.632664,32.908304,0.000000,0.002420
0.005000,40.118464,0.000162,0.119704,2.797206,32.908304,0.000000,0.002734
0.005000,40.132861,0.000204,0.134101,2.961747,32.908304,-0.000000,0.003067
0.005000,40.148081,0.000253,0.149321,3.126289,32.908304,0.000000,0.003419
0.005000,40.164124,0.000311,0.165364,3.290830,32.908304,0.000000,0.003791
0.005000,40.180989,0.000378,0.182230,3.455372,32.908304,-0.000000,0.004181
0.005000,40.198678,0.000456,0.199918,3.619913,32.908304,0.000000,0.004592
0.005000,40.217188,0.000545,0.218429,3.784455,32.908304,0.000000,0.005021
0.005000,40.236522,0.000646,0.237762,3.948997,32.908304,-0.000000,0.005470
0.005000,40.256678,0.000761,0.257919,4.113538,32.908304,0.000000,0.005938
0.005000,40.277656,0.000891,0.278898,4.278080,32.908304,-0.000000,0.006425
0.005000,40.299457,0.001036,0.300700,4.442621,32.908304,0.000000,0.006932
0.005000,40.322081,0.001199,0.323324,4.607163,32.908304,0.000000,0.007459
0.005000,40.345528,0.001380,0.346771,4.771704,32.908304,0.000000,0.008005
0.005000,40.369797,0.001581,0.371041,4.936246,32.908304,-0.000000,0.008571
0.005000,40.394888,0.001804,0.396134,5.100787,32.908304,0.000000,0.009157
0.005000,40.420803,0.002049,0.422049,5.265329,32.908304,-0.000000,0.009762
0.005000,40.447539,0.002318,0.448787,5.429870,32.908304,0.000000,0.010387
0.005000,40.475098,0.002614,0.476348,5.594412,32.908304,0.000000,0.011032
0.005000,40.503480,0.002936,0.504731,5.758953,32.908304,-0.000000,0.011696
0.005000,40.532684,0.003288,0.533937,5.923495,32.908304,0.000000,0.012381
0.005000,40.562710,0.003670,0.563966,6.088036,32.908304,0.000000,0.013085
0.005000,40.593559,0.004085,0.594818,6.252578,32.908304,-0.000000,0.013810
0.005000,40.625230,0.004534,0.626492,6.417119,32.908304,0.000000,0.014555
0.005000,40.657723,0.005019,0.658989,6.581661,32.908304,0.000000,0.015320
0.005000,40.691039,0.005543,0.692308,6.746202,32.908304,-0.000000,0.016105
0.005000,40.725177,0.006107,0.726451,6.910744,32.908304,0.000000,0.016910
0.005000,40.760137,0.006712,0.761416,7.075285,32.908304,0.000000,0.017736
0.005000,40.795918,0.007362,0.797204,7.239827,32.908304,0.000000,0.018582
0.005000,40.832522,0.008058,0.833814,7.404368,32.908304,0.000000,0.019449
0.005000,40.869948,0.008803,0.871247,7.568910,32.908304,0.000000,0.020336
0.005000,40.908196,0.009598,0.909503,7.733451,32.908304,-0.000000,0.021244
0.005000,40.947265,0.010446,0.948582,7.897993,32.908304,0.000000,0.022172
0.005000,40.987156,0.011350,0.988483,8.062535,32.908304,0.000000,0.023122
0.005000,41.027869,0.012311,1.029207,8.227076,32.908304,0.000000,0.024092
