dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,62.000000,-7.000000,0.000016,0.006243,1.248533,249.706680,0.523605
0.005000,62.000000,-7.000000,0.000078,0.018728,2.497067,249.706680,0.523604
0.005000,62.000000,-7.000000,0.000218,0.037456,3.745600,249.706680,0.523601
0.005000,62.000127,-6.999927,0.000468,0.062427,4.994134,249.706680,0.523596
0.005000,62.000465,-6.999732,0.000858,0.093640,6.242667,249.706680,0.523587
0.005000,62.000951,-6.999451,0.001420,0.131096,7.491200,249.706680,0.523575
0.005000,62.001613,-6.999069,0.002185,0.174795,8.739734,249.706680,0.523559
0.005000,62.002478,-6.998569,0.003184,0.224736,9.988267,249.706680,0.523538
0.005000,62.003573,-6.997937,0.004448,0.280920,11.236801,249.706680,0.523511
0.005000,62.004925,-6.997157,0.006009,0.343347,12.485334,249.706680,0.523478
0.005000,62.006561,-6.996213,0.007897,0.412016,13.733867,249.706680,0.523438
0.005000,62.008507,-6.995090,0.010144,0.486928,14.982401,249.706680,0.523390
0.005000,62.010791,-6.993771,0.012782,0.568083,16.230934,249.706680,0.523334
0.005000,62.013441,-6.992243,0.015841,0.655480,17.479468,249.706680,0.523269
0.005000,62.016483,-6.990488,0.019352,0.749120,18.728001,249.706680,0.523195
0.005000,62.019944,-6.988492,0.023348,0.849003,19.976534,249.706680,0.523110
0.005000,62.023851,-6.986239,0.027858,0.955128,21.225068,249.706680,0.523014
0.005000,62.028232,-6.983713,0.032914,1.067496,22.473601,249.706680,0.522907
0.005000,62.033113,-6.980900,0.038548,1.186107,23.722135,249.706680,0.522787
0.005000,62.038522,-6.977784,0.044791,1.310960,24.970668,249.706680,0.522655
0.005000,62.044486,-6.974348,0.051674,1.442056,26.219201,249.706680,0.522509
0.005000,62.051032,-6.970579,0.059227,1.579395,27.467735,249.706680,0.522348
0.005000,62.058187,-6.966461,0.067483,1.722976,28.716268,249.706680,0.522173
0.005000,62.065979,-6.961978,0.076473,1.872800,29.964802,249.706680,0.521982
0.005000,62.074435,-6.957115,0.086227,2.028867,31.213335,249.706680,0.521775
0.005000,62.083582,-6.951858,0.096777,2.191176,32.461868,249.706680,0.521551
0.005000,62.093447,-6.946191,0.108154,2.359728,33.710402,249.706680,0.521310
0.005000,62.104058,-6.940099,0.120390,2.534523,34.958935,249.706680,0.521050
0.005000,62.115443,-6.933567,0.133515,2.715560,36.207469,249.706680,0.520771
0.005000,62.127628,-6.926580,0.147561,2.902840,37.456002,249.706680,0.520473
0.005000,62.140641,-6.919124,0.162559,3.096363,38.704535,249.706680,0.520155
0.005000,62.154510,-6.911183,0.178540,3.296128,39.953069,249.706680,0.519816
0.005000,62.169262,-6.902744,0.195536,3.502136,41.201602,249.706680,0.519455
0.005000,62.184925,-6.893791,0.213577,3.714387,42.450136,249.706680,0.519072
0.005000,62.201527,-6.884310,0.232695,3.932880,43.698669,249.706680,0.518666
0.005000,62.219095,-6.874287,0.252922,4.157616,44.947202,249.706680,0.518236
0.005000,62.237658,-6.863708,0.274287,4.388595,46.195736,249.706680,0.517783
0.005000,62.257243,-6.852558,0.296823,4.625816,47.444269,249.706680,0.517304
0.005000,62.277877,-6.840824,0.320561,4.869280,48.692803,249.706680,0.516800
0.005000,62.299590,-6.828492,0.345532,5.118987,49.941336,249.706680,0.516270
0.005000,62.322409,-6.815548,0.371766,5.374936,51.189869,249.706680,0.515713
0.005000,62.346363,-6.801978,0.399297,5.637128,52.438403,249.706680,0.515128
0.005000,62.371479,-6.787770,0.428153,5.905563,53.686936,249.706680,0.514515
0.005000,62.397787,-6.772909,0.458368,6.180240,54.935470,249.706680,0.513873
0.005000,62.425314,-6.757384,0.489971,6.461160,56.184003,249.706680,0.513202
0.005000,62.454089,-6.741180,0.522995,6.748323,57.432536,249.706680,0.512501
0.005000,62.484141,-6.724286,0.557470,7.041728,58.681070,249.706680,0.511769
0.005000,62.515498,-6.706689,0.593428,7.341376,59.929603,249.706680,0.511005
0.005000,62.548190,-6.688376,0.630900,7.647267,61.178137,249.706680,0.510209
0.005000,62.582246,-6.669336,0.669916,7.959400,62.426670,249.706680,0.509380
0.005000,62.617694,-6.649557,0.710509,8.277776,63.675203,249.706680,0.508518
0.005000,62.654564,-6.629027,0.752710,8.602395,64.923737,249.706680,0.507621
0.005000,62.692885,-6.607734,0.796549,8.933256,66.172270,249.706680,0.506690
0.005000,62.732687,-6.585669,0.842058,9.270361,67.420804,249.706680,0.505723
0.005000,62.773999,-6.562819,0.889268,9.613707,68.669337,249.706680,0.504720
0.005000,62.816851,-6.539174,0.938210,9.963297,69.917870,249.706680,0.503681
0.005000,62.861273,-6.514725,0.988916,10.319129,71.166404,249.706680,0.502603
0.005000,62.907295,-6.489460,1.041417,10.681203,72.414937,249.706680,0.501488
0.005000,62.954948,-6.463371,1.095744,11.049521,73.663471,249.706680,0.500334
0.005000,63.004261,-6.436448,1.151928,11.424081,74.912004,249.706680,0.499140
0.005000,63.055265,-6.408682,1.210001,11.804883,76.160537,249.706680,0.497907
0.005000,63.107992,-6.380064,1.269993,12.191929,77.409071,249.706680,0.496632
0.005000,63.162471,-6.350586,1.331935,12.585217,78.657604,249.706680,0.495316
0.005000,63.218734,-6.320241,1.395860,12.984747,79.906138,249.706680,0.493959
0.005000,63.276798,-6.289026,1.461783,13.384278,79.906138,0.000000,0.492558
0.005000,63.336667,-6.256951,1.529703,13.783809,79.906138,0.000000,0.491116
0.005000,63.398346,-6.224023,1.599621,14.183339,79.906138,-0.000000,0.489631
0.005000,63.461838,-6.190250,1.671537,14.582870,79.906138,0.000000,0.488104
0.005000,63.527147,-6.155639,1.745450,14.982401,79.906138,0.000000,0.486534
0.005000,63.594277,-6.120200,1.821361,15.381931,79.906138,-0.000000,0.484922
0.005000,63.663234,-6.083941,1.899269,15.781462,79.906138,0.000000,0.483269
0.005000,63.734021,-6.046870,1.979175,16.180993,79.906138,-0.000000,0.481572
0.005000,63.806642,-6.008998,2.061079,16.580524,79.906138,0.000000,0.479834
0.005000,63.881103,-5.970332,2.144980,16.980054,79.906138,0.000000,0.478054
0.005000,63.957408,-5.930884,2.230879,17.379585,79.906138,-0.000000,0.476231
0.005000,64.035562,-5.890662,2.318776,17.779116,79.906138,0.000000,0.474367
0.005000,64.115570,-5.849677,2.408671,18.178646,79.906138,0.000000,0.472461
0.005000,64.197436,-5.807938,2.500563,18.578177,79.906138,0.000000,0.470513
