dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,92.000000,-0.000000,0.000016,0.006243,1.248533,249.706652,3.141590
0.005000,92.000000,-0.000000,0.000078,0.018728,2.497067,249.706652,3.141590
0.005000,92.000000,-0.000000,0.000218,0.037456,3.745600,249.706652,3.141592
0.005000,91.999848,-0.000000,0.000468,0.062427,4.994133,249.706652,3.141594
0.005000,91.999458,-0.000000,0.000858,0.093640,6.242666,249.706652,3.141598
0.005000,91.998896,-0.000000,0.001420,0.131096,7.491200,249.706652,3.141603
0.005000,91.998131,-0.000000,0.002185,0.174795,8.739733,249.706652,3.141611
0.005000,91.997133,-0.000000,0.003184,0.224736,9.988266,249.706652,3.141621
0.005000,91.995868,-0.000000,0.004448,0.280920,11.236799,249.706652,3.141633
0.005000,91.994308,-0.000000,0.006009,0.343347,12.485333,249.706652,3.141648
0.005000,91.992419,-0.000000,0.007897,0.412016,13.733866,249.706652,3.141667
0.005000,91.990172,-0.000000,0.010144,0.486928,14.982399,249.706652,3.141689
0.005000,91.987534,-0.000001,0.012782,0.568083,16.230932,249.706652,3.141715
0.005000,91.984476,-0.000001,0.015841,0.655480,17.479466,249.706652,3.141745
0.005000,91.980964,-0.000002,0.019352,0.749120,18.727999,249.706652,3.141779
0.005000,91.976969,-0.000003,0.023348,0.849003,19.976532,249.706652,3.141819
0.005000,91.972458,-0.000004,0.027858,0.955128,21.225065,249.706652,3.141863
0.005000,91.967402,-0.000005,0.032914,1.067496,22.473599,249.706652,3.141912
0.005000,91.961768,-0.000007,0.038548,1.186107,23.722132,249.706652,3.141968
0.005000,91.955525,-0.000010,0.044791,1.310960,24.970665,249.706652,3.142029
0.005000,91.948643,-0.000013,0.051674,1.442056,26.219198,249.706652,3.142097
0.005000,91.941089,-0.000017,0.059227,1.579395,27.467732,249.706652,3.142171
0.005000,91.932833,-0.000022,0.067483,1.722976,28.716265,249.706652,3.142252
0.005000,91.923844,-0.000028,0.076473,1.872800,29.964798,249.706652,3.142341
0.005000,91.914090,-0.000036,0.086227,2.028867,31.213332,249.706652,3.142437
